จังหวัด,เขต,ชุดที่,บัตรดี,บัตรเสีย,บัตรที่ไม่เลือก,หมายเลข,พรรค,คะแนน
นครศรีธรรมราช,2,1,,,,25,25,0
นครศรีธรรมราช,2,1,,,,26,26,0
นครศรีธรรมราช,2,1,,,,27,27,221
นครศรีธรรมราช,2,1,,,,28,28,0
นครศรีธรรมราช,2,1,,,,29,29,4
นครศรีธรรมราช,2,1,,,,30,30,0
นครศรีธรรมราช,2,1,,,,31,31,0
นครศรีธรรมราช,2,1,,,,32,32,0
นครศรีธรรมราช,2,1,,,,33,33,4
นครศรีธรรมราช,2,1,,,,34,34,0
นครศรีธรรมราช,2,1,,,,35,35,0
นครศรีธรรมราช,2,1,,,,36,36,0
นครศรีธรรมราช,2,1,,,,37,37,75
นครศรีธรรมราช,2,1,,,,38,38,0
นครศรีธรรมราช,2,1,,,,39,39,0
นครศรีธรรมราช,2,1,,,,40,40,0
นครศรีธรรมราช,2,1,,,,41,41,0
นครศรีธรรมราช,2,1,,,,42,42,3
นครศรีธรรมราช,2,1,,,,43,43,0
นครศรีธรรมราช,2,1,,,,44,44,0
นครศรีธรรมราช,2,1,,,,45,45,1
นครศรีธรรมราช,2,1,,,,46,46,274
นครศรีธรรมราช,2,1,,,,47,47,1
นครศรีธรรมราช,2,1,,,,48,48,2
นครศรีธรรมราช,2,1,,,,49,49,1
นครศรีธรรมราช,2,1,,,,50,50,0
นครศรีธรรมราช,2,1,,,,51,51,0
นครศรีธรรมราช,2,1,,,,52,52,0
นครศรีธรรมราช,2,1,,,,53,53,0
นครศรีธรรมราช,2,1,,,,54,54,0
นครศรีธรรมราช,2,1,,,,55,55,0
นครศรีธรรมราช,2,1,,,,56,56,0
นครศรีธรรมราช,2,1,,,,57,57,0
นครศรีธรรมราช,2,1,,,,1,1,0
นครศรีธรรมราช,2,1,,,,2,2,0
นครศรีธรรมราช,2,1,,,,3,3,0
นครศรีธรรมราช,2,1,,,,4,4,1
นครศรีธรรมราช,2,1,,,,5,5,0
นครศรีธรรมราช,2,1,,,,6,6,11
นครศรีธรรมราช,2,1,,,,7,7,1
นครศรีธรรมราช,2,1,,,,8,8,2
นครศรีธรรมราช,2,1,,,,9,9,18
นครศรีธรรมราช,2,1,,,,10,10,3
นครศรีธรรมราช,2,1,,,,11,11,6
นครศรีธรรมราช,2,1,,,,12,12,1
นครศรีธรรมราช,2,1,,,,13,13,6
นครศรีธรรมราช,2,1,,,,14,14,0
นครศรีธรรมราช,2,1,,,,15,15,1
นครศรีธรรมราช,2,1,,,,16,16,0
นครศรีธรรมราช,2,1,,,,17,17,0
นครศรีธรรมราช,2,1,,,,18,18,0
นครศรีธรรมราช,2,1,,,,19,19,0
นครศรีธรรมราช,2,1,,,,20,20,0
นครศรีธรรมราช,2,1,,,,21,21,0
นครศรีธรรมราช,2,1,,,,22,22,0
นครศรีธรรมราช,2,1,,,,23,23,0
นครศรีธรรมราช,2,1,,,,24,24,0
นครศรีธรรมราช,2,1,,,,25,25,0
นครศรีธรรมราช,2,1,,,,26,26,0
นครศรีธรรมราช,2,1,,,,27,27,220
นครศรีธรรมราช,2,1,,,,28,28,0
นครศรีธรรมราช,2,1,,,,29,29,1
นครศรีธรรมราช,2,1,,,,30,30,0
นครศรีธรรมราช,2,1,,,,31,31,0
นครศรีธรรมราช,2,1,,,,32,32,1
นครศรีธรรมราช,2,1,,,,33,33,1
นครศรีธรรมราช,2,1,,,,34,34,0
นครศรีธรรมราช,2,1,,,,35,35,0
นครศรีธรรมราช,2,1,,,,36,36,0
นครศรีธรรมราช,2,1,,,,37,37,62
นครศรีธรรมราช,2,1,,,,38,38,0
นครศรีธรรมราช,2,1,,,,39,39,0
นครศรีธรรมราช,2,1,,,,40,40,0
นครศรีธรรมราช,2,1,,,,41,41,0
นครศรีธรรมราช,2,1,,,,42,42,6
นครศรีธรรมราช,2,1,,,,43,43,0
นครศรีธรรมราช,2,1,,,,44,44,0
นครศรีธรรมราช,2,1,,,,45,45,1
นครศรีธรรมราช,2,1,,,,46,46,352
นครศรีธรรมราช,2,1,,,,47,47,1
นครศรีธรรมราช,2,1,,,,48,48,1
นครศรีธรรมราช,2,1,,,,49,49,2
นครศรีธรรมราช,2,1,,,,50,50,0
นครศรีธรรมราช,2,1,,,,51,51,0
นครศรีธรรมราช,2,1,,,,52,52,0
นครศรีธรรมราช,2,1,,,,53,53,0
นครศรีธรรมราช,2,1,,,,54,54,0
นครศรีธรรมราช,2,1,,,,55,55,0
นครศรีธรรมราช,2,1,,,,56,56,0
นครศรีธรรมราช,2,1,,,,57,57,0
นครศรีธรรมราช,2,5,,,,1,1,0
นครศรีธรรมราช,2,5,,,,2,2,2
นครศรีธรรมราช,2,5,,,,3,3,0
นครศรีธรรมราช,2,5,,,,4,4,2
นครศรีธรรมราช,2,5,,,,5,5,3
นครศรีธรรมราช,2,5,,,,6,6,10
นครศรีธรรมราช,2,5,,,,7,7,0
นครศรีธรรมราช,2,5,,,,8,8,1
นครศรีธรรมราช,2,5,,,,9,9,13
นครศรีธรรมราช,2,5,,,,10,10,2
นครศรีธรรมราช,2,3,,,,11,11,9
นครศรีธรรมราช,2,3,,,,12,12,2
นครศรีธรรมราช,2,3,,,,13,13,1
นครศรีธรรมราช,2,3,,,,14,14,1
นครศรีธรรมราช,2,3,,,,15,15,0
นครศรีธรรมราช,2,3,,,,16,16,0
นครศรีธรรมราช,2,3,,,,17,17,0
นครศรีธรรมราช,2,3,,,,18,18,0
นครศรีธรรมราช,2,3,,,,19,19,1
นครศรีธรรมราช,2,3,,,,20,20,0
นครศรีธรรมราช,2,3,,,,21,21,0
นครศรีธรรมราช,2,3,,,,22,22,0
นครศรีธรรมราช,2,3,,,,23,23,0
นครศรีธรรมราช,2,3,,,,24,24,0
นครศรีธรรมราช,2,3,,,,25,25,0
นครศรีธรรมราช,2,3,,,,26,26,0
นครศรีธรรมราช,2,3,,,,27,27,189
นครศรีธรรมราช,2,3,,,,28,28,0
นครศรีธรรมราช,2,3,,,,29,29,0
นครศรีธรรมราช,2,3,,,,30,30,0
นครศรีธรรมราช,2,3,,,,31,31,0
นครศรีธรรมราช,2,3,,,,32,32,2
นครศรีธรรมราช,2,3,,,,33,33,1
นครศรีธรรมราช,2,3,,,,34,34,1
นครศรีธรรมราช,2,,,,,35,35,0
นครศรีธรรมราช,2,,,,,36,36,0
นครศรีธรรมราช,2,,,,,37,37,66
นครศรีธรรมราช,2,,,,,38,38,0
นครศรีธรรมราช,2,,,,,39,39,3
นครศรีธรรมราช,2,,,,,40,40,0
นครศรีธรรมราช,2,,,,,41,41,0
นครศรีธรรมราช,2,,,,,42,42,5
นครศรีธรรมราช,2,,,,,43,43,1
นครศรีธรรมราช,2,,,,,44,44,0
นครศรีธรรมราช,2,,,,,45,45,1
นครศรีธรรมราช,2,,,,,46,46,380
นครศรีธรรมราช,2,,,,,47,47,0
นครศรีธรรมราช,2,,,,,48,48,2
นครศรีธรรมราช,2,,,,,49,49,1
นครศรีธรรมราช,2,,,,,50,50,0
นครศรีธรรมราช,2,,,,,51,51,0
นครศรีธรรมราช,2,,,,,52,52,0
นครศรีธรรมราช,2,,,,,53,53,0
นครศรีธรรมราช,2,,,,,54,54,0
นครศรีธรรมราช,2,,,,,55,55,0
นครศรีธรรมราช,2,,,,,56,56,0
นครศรีธรรมราช,2,,,,,57,57,0
นครศรีธรรมราช,2,1,,,,11,11,3
นครศรีธรรมราช,2,1,,,,12,12,0
นครศรีธรรมราช,2,1,,,,13,13,0
นครศรีธรรมราช,2,1,,,,14,14,0
นครศรีธรรมราช,2,1,,,,15,15,0
นครศรีธรรมราช,2,1,,,,16,16,0
นครศรีธรรมราช,2,1,,,,17,17,0
นครศรีธรรมราช,2,1,,,,18,18,0
นครศรีธรรมราช,2,1,,,,19,19,0
นครศรีธรรมราช,2,1,,,,20,20,0
นครศรีธรรมราช,2,1,,,,21,21,0
นครศรีธรรมราช,2,1,,,,22,22,0
นครศรีธรรมราช,2,1,,,,23,23,0
นครศรีธรรมราช,2,1,,,,24,24,0
นครศรีธรรมราช,2,1,,,,25,25,0
นครศรีธรรมราช,2,1,,,,26,26,1
นครศรีธรรมราช,2,1,,,,27,27,187
นครศรีธรรมราช,2,1,,,,28,28,0
นครศรีธรรมราช,2,1,,,,29,29,0
นครศรีธรรมราช,2,1,,,,30,30,0
นครศรีธรรมราช,2,1,,,,31,31,0
นครศรีธรรมราช,2,1,,,,32,32,0
นครศรีธรรมราช,2,1,,,,33,33,0
นครศรีธรรมราช,2,1,,,,34,34,0
นครศรีธรรมราช,2,1,,,,35,รักชาติ,1
นครศรีธรรมราช,2,1,,,,36,ไทยพร้อม,0
นครศรีธรรมราช,2,1,,,,37,ภูมิใจไทย,69
นครศรีธรรมราช,2,1,,,,38,พลังธรรมใหม่,1
นครศรีธรรมราช,2,1,,,,39,กรีน,1
นครศรีธรรมราช,2,1,,,,40,ไทยธรรม,0
นครศรีธรรมราช,2,1,,,,41,แผ่นดินธรรม,0
นครศรีธรรมราช,2,1,,,,42,กล้าธรรม,4
นครศรีธรรมราช,2,1,,,,43,พลังประชารัฐ,0
นครศรีธรรมราช,2,1,,,,44,โอกาสใหม่,0
นครศรีธรรมราช,2,1,,,,45,เป็นธรรม,0
นครศรีธรรมราช,2,1,,,,46,ประชาชน,400
นครศรีธรรมราช,2,1,,,,47,ประชาไทย,1
นครศรีธรรมราช,2,1,,,,48,ไทยสร้างไทย,0
นครศรีธรรมราช,2,1,,,,49,ไทยก้าวใหม่,0
นครศรีธรรมราช,2,1,,,,50,ประชาอาสาชาติ,0
นครศรีธรรมราช,2,1,,,,51,พร้อม,0
นครศรีธรรมราช,2,1,,,,52,เครือข่ายชาวนาแห่งประเทศไทย,0
นครศรีธรรมราช,2,1,,,,53,โพลิฟิกซ์ธรรม,0
นครศรีธรรมราช,2,1,,,,54,ความหวังใหม่,0
นครศรีธรรมราช,2,1,,,,55,ไทยรวมไทย,0
นครศรีธรรมราช,2,1,,,,56,เพื่อบ้านเมือง,0
นครศรีธรรมราช,2,1,,,,57,พลังไทยรักชาติ,0
นครศรีธรรมราช,2,1,,,,1,1,1
นครศรีธรรมราช,2,1,,,,2,2,0
นครศรีธรรมราช,2,1,,,,3,3,1
นครศรีธรรมราช,2,1,,,,4,4,0
นครศรีธรรมราช,2,1,,,,5,5,0
นครศรีธรรมราช,2,1,,,,6,6,10
นครศรีธรรมราช,2,1,,,,7,7,0
นครศรีธรรมราช,2,1,,,,8,8,4
นครศรีธรรมราช,2,1,,,,9,9,15
นครศรีธรรมราช,2,1,,,,10,10,2
นครศรีธรรมราช,2,1,,,,11,11,11
นครศรีธรรมราช,2,1,,,,12,12,2
นครศรีธรรมราช,2,1,,,,13,13,1
นครศรีธรรมราช,2,1,,,,14,14,0
นครศรีธรรมราช,2,1,,,,15,15,1
นครศรีธรรมราช,2,1,,,,16,16,0
นครศรีธรรมราช,2,1,,,,17,17,0
นครศรีธรรมราช,2,1,,,,18,18,0
นครศรีธรรมราช,2,1,,,,19,19,1
นครศรีธรรมราช,2,1,,,,20,20,0
นครศรีธรรมราช,2,1,,,,21,21,0
นครศรีธรรมราช,2,1,,,,22,22,0
นครศรีธรรมราช,2,1,,,,23,23,1
นครศรีธรรมราช,2,1,,,,24,24,0
นครศรีธรรมราช,2,1,,,,25,25,0
นครศรีธรรมราช,2,1,,,,26,26,1
นครศรีธรรมราช,2,1,,,,27,27,7
นครศรีธรรมราช,2,1,,,,28,28,0
นครศรีธรรมราช,2,1,,,,29,29,0
นครศรีธรรมราช,2,1,,,,30,30,0
นครศรีธรรมราช,2,1,,,,31,31,0
นครศรีธรรมราช,2,1,,,,32,32,0
นครศรีธรรมราช,2,1,,,,33,33,0
นครศรีธรรมราช,2,1,,,,34,34,0
นครศรีธรรมราช,2,,,,,35,35,0
นครศรีธรรมราช,2,,,,,36,36,0
นครศรีธรรมราช,2,,,,,37,37,58
นครศรีธรรมราช,2,,,,,38,38,0
นครศรีธรรมราช,2,,,,,39,39,0
นครศรีธรรมราช,2,,,,,40,40,0
นครศรีธรรมราช,2,,,,,41,41,0
นครศรีธรรมราช,2,,,,,42,42,2
นครศรีธรรมราช,2,,,,,43,43,1
นครศรีธรรมราช,2,,,,,44,44,1
นครศรีธรรมราช,2,,,,,45,45,1
นครศรีธรรมราช,2,,,,,46,46,363
นครศรีธรรมราช,2,,,,,47,47,0
นครศรีธรรมราช,2,,,,,48,48,0
นครศรีธรรมราช,2,,,,,49,49,0
นครศรีธรรมราช,2,,,,,50,50,1
นครศรีธรรมราช,2,,,,,51,51,0
นครศรีธรรมราช,2,,,,,52,52,0
นครศรีธรรมราช,2,,,,,53,53,0
นครศรีธรรมราช,2,,,,,54,54,0
นครศรีธรรมราช,2,,,,,55,55,0
นครศรีธรรมราช,2,,,,,56,56,0
นครศรีธรรมราช,2,,,,,57,57,0
นครศรีธรรมราช,2,2,,,,1,1,1
นครศรีธรรมราช,2,2,,,,2,2,1
นครศรีธรรมราช,2,2,,,,3,3,1
นครศรีธรรมราช,2,2,,,,4,4,1
นครศรีธรรมราช,2,2,,,,5,5,0
นครศรีธรรมราช,2,2,,,,6,6,14
นครศรีธรรมราช,2,2,,,,7,7,0
นครศรีธรรมราช,2,2,,,,8,8,5
นครศรีธรรมราช,2,2,,,,9,9,17
นครศรีธรรมราช,2,2,,,,10,10,1
นครศรีธรรมราช,2,1,,,,11,11,7
นครศรีธรรมราช,2,1,,,,12,12,2
นครศรีธรรมราช,2,1,,,,13,13,1
นครศรีธรรมราช,2,1,,,,14,14,0
นครศรีธรรมราช,2,1,,,,15,15,1
นครศรีธรรมราช,2,1,,,,16,16,0
นครศรีธรรมราช,2,1,,,,17,17,0
นครศรีธรรมราช,2,1,,,,18,18,0
นครศรีธรรมราช,2,1,,,,19,19,1
นครศรีธรรมราช,2,1,,,,20,20,0
นครศรีธรรมราช,2,1,,,,21,21,1
นครศรีธรรมราช,2,1,,,,22,22,0
นครศรีธรรมราช,2,1,,,,23,23,0
นครศรีธรรมราช,2,1,,,,24,24,0
นครศรีธรรมราช,2,1,,,,25,25,0
นครศรีธรรมราช,2,1,,,,26,26,0
นครศรีธรรมราช,2,1,,,,27,27,175
นครศรีธรรมราช,2,1,,,,28,28,0
นครศรีธรรมราช,2,1,,,,29,29,3
นครศรีธรรมราช,2,1,,,,30,30,0
นครศรีธรรมราช,2,1,,,,31,31,0
นครศรีธรรมราช,2,1,,,,32,32,0
