จังหวัด,เขตเลือกตั้งที่,ตำบล,อำเภอ,หน่วยเลือกตั้งที่,หมู่ที่,จำนวนผู้มีสิทธิเลือกตั้ง,จำนวนผู้มาแสดงตน,จำนวนบัตรที่ได้รับจัดสรร,จำนวนบัตรที่ใช้,จำนวนบัตรดี,จำนวนบัตรเสีย,จำนวนบัตรที่ไม่เลือกผู้สมัคร,จำนวนบัตรคงเหลือ,หมายเลข,ชื่อสกุล,พรรค,คะแนน
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,15,9,571,393,560,393,349,12,32,167,6,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,3
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,15,9,571,393,560,393,349,12,32,167,7,นายปัญโน หวานนุรักษ์,พลวัต,0
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,15,9,571,393,560,393,349,12,32,167,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,1
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,15,9,571,393,560,393,349,12,32,167,9,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,0
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,15,9,571,393,560,393,349,12,32,167,10,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,2
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,2,1,546,408,520,408,363,11,34,112,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,191
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,2,1,546,408,520,408,363,11,34,112,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,19
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,2,1,546,408,520,408,363,11,34,112,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,100
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,2,1,546,408,520,408,363,11,34,112,4,นายเจริญ ชินวงศ์,กล้าธรรม,6
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,2,1,546,408,520,408,363,11,34,112,5,นายจรยุทธ มาศบำรุง,ประชาชน,38
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,2,1,546,408,520,408,363,11,34,112,6,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,6
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,2,1,546,408,520,408,363,11,34,112,7,นายปัญโน หวานนุรักษ์,พลวัต,1
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,2,1,546,408,520,408,363,11,34,112,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,0
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,2,1,546,408,520,408,363,11,34,112,9,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,2
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,2,1,546,408,520,408,363,11,34,112,10,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,0
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,3,2,504,354,480,354,313,7,34,126,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,164
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,3,2,504,354,480,354,313,7,34,126,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,8
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,3,2,504,354,480,354,313,7,34,126,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,78
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,3,2,504,354,480,354,313,7,34,126,4,นายเจริญ ชินวงศ์,กล้าธรรม,6
นครศรีธรรมราช,2,ตำบลกำแพงเซา,เมือง,3,2,504,354,480,354,313,7,34,126,5,นายจรยุทธ มาศบำรุง,ประชาชน,53
